date,cases_total,cases_new,cured_total,cured_new
2020-09-15,5081,35,3467,104
2020-09-16,5112,31,3519,52
2020-09-17,5145,33,3573,54
2020-09-18,5174,29,3642,69
2020-09-19,5206,32,3679,37
2020-09-20,5236,30,3681,2
2020-09-21,5264,28,3710,29
2020-09-22,5308,44,3769,59
2020-09-23,5347,39,3802,33
2020-09-24,5382,35,3838,36
2020-09-25,5416,34,3842,4
2020-09-26,5444,28,3865,23
2020-09-27,5476,32,3866,1
2020-09-28,5512,36,3884,18
2020-09-29,5550,38,3931,47
2020-09-30,5591,41,3954,23
2020-10-01,5639,48,3995,41
2020-10-02,5694,55,4059,64
2020-10-03,5760,66,4081,22
2020-10-04,5811,51,4089,8
2020-10-05,5864,53,4101,12
2020-10-06,5919,55,4196,95
2020-10-07,5971,52,4259,63
2020-10-08,6029,58,4366,107
2020-10-09,6085,56,4415,49
2020-10-10,6144,59,4439,24
2020-10-11,6205,61,4441,2
2020-10-12,6263,58,4454,13
2020-10-13,6328,65,4480,26
2020-10-14,6407,79,4517,37
