timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),Дождь (незамерзающий) сильный непрерывный,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Дождь (незамерзающий) сильный с перерывами,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,В окрестности станции местами туман,Гроза сильная (возможен град),"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Снег,Изменение количества облаков неизвестно,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Морось с дождем слабая,Дождь (незамерзающий),"Осадки за 12 часов, мм",Ливневой дождь очень сильный,"Высота снежного покрова, см",Количество облаков увеличилось,Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Гроза, дождь со снегом слабые","Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Морось (незамерзающая) умеренная с перерывами,Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Туман ослабел (небо не видно)
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,75.4,,,,северо-западный,,,,,2.0,,,,,,,,,,,,,10.0,746.0,,,,-1.1,,,,,,0.0,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,86.1,,,,западный,,,,,2.0,,,,,,,,,,,,,10.0,746.0,,,,-2.5,,,,,,0.0,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,86.1,,,-2.5,западный,,,,,2.0,,,0,,,,,0,,,,,10.0,746.0,,,,-2.5,,,,,,9.0,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,55.1,,,-2.9,западный,,,,,1.0,,,0,,,,,,,,,,10.0,747.0,,,,2.6,,,,,,2.0,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,10.0,,,,,,,,,,,,,33.0,,,,северо-западный,,,,,5.0,,,,,,,,,,,,,10.0,746.0,,,,7.1,,,,,,6.0,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,10.0,,,,,,,,,,,,,28.3,,,,северо-западный,,,,,3.0,,,,,,,,,,,,,10.0,745.0,,,,9.1,,,,,,7.0,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,28.6,,,,северный,,,,,1.0,,,0,,,,,,,,,,10.0,744.0,,,,9.4,,,,,,1.0,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,41.5,,,,восточный,,,,10.3,1.0,,,0,,,,,,,,,,10.0,743.0,,,,4.8,,,,,,0.0,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,45.4,,,,юго-восточный,,,,,2.0,,,,,,,,,,,,,10.0,743.0,,,,3.6,,,,,,5.0,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,50.7,,,,южный,,,,,1.0,,,,,,,,,,,,,10.0,742.0,,,,2.5,,,,,,4.0,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,50.4,,,2.3,южный,,,,,2.0,,,0,,,,,0,,,,,10.0,741.0,,,,2.9,,,,,,9.0,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,30.6,,,2.3,юго-западный,,,,,4.0,,,0,,,,,,,,,,10.0,739.0,,,,8.2,,,,,,10.0,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,,,,20.7,,,,южный,,,,,6.0,,,,,,,,,,,,,10.0,738.0,,,,11.6,,,,,,10.0,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,13.0,,,,,,,,,,,,,16.9,,,,южный,,,,,7.0,,,,,,,,,,,,,10.0,736.0,,,,15.2,,,,,,4.0,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,13.0,,,,,,,,,,,,,19.0,,,,южный,,,,,5.0,,,0,,,,,,,,,,10.0,733.0,,,,16.5,,,,,,0.0,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,30.1,,,,южный,,,,16.7,3.0,,,0,,,,,,,,,,10.0,733.0,,,,12.7,,,,,,0.0,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,33.1,,,,южный,,,,,4.0,,,,,,,,,,,,,10.0,731.0,,,,11.7,,,,,,0.0,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,42.1,,,,южный,,,,,4.0,,,,,,,,,,,,,10.0,730.0,,,,10.0,,,,,,7.0,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,50.3,,,9.1,южный,,,,,4.0,,,0,,,,,0,,,,,10.0,730.0,,,,9.1,,,,,,10.0,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,True,,,,,,,,,,,,88.3,,,6.6,северо-западный,,,,,2.0,,,0.6,,,,,,,,,,10.0,732.0,,,,6.6,,,,,,10.0,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,89.3,,,,западный,,,,,2.0,,,,,,,,,,,,,10.0,733.0,,,,4.5,,,,True,,10.0,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,89.9,,,,западный,,,,,2.0,,,,,,,,,,,,,10.0,734.0,,,,4.0,,,,True,,10.0,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,северный,,,,,40.0,,,3,,,,,,,,,,0.0,734.0,,,,,,,,,,1.0,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,90.6,,,,западный,,,,4.5,2.0,,,3,,,,,,,,,,10.0,735.0,,,,3.9,,,,,,10.0,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,,,,западный,,,,,2.0,,,,,,,,,,,,,10.0,734.0,,,,0.3,,,,,,10.0,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,76.5,,,,западный,,,,,1.0,,,,,,,,,,,,,10.0,734.0,,,,2.0,,,,,,9.0,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,74.5,,,0.2,западный,,,,,1.0,,,0,,,,,3,,,,,10.0,733.0,,,,0.2,,,,,,7.0,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,70.0,,,1.0,западный,,,,,2.0,,,0,,,,,,,,,,10.0,733.0,,,,2.3,,,,,,1.0,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,59.5,,,,западный,,,,,5.0,,,,,,,,,,,,,10.0,732.0,,,,2.7,,,,,,10.0,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,11.0,,,,,,,,,,,,,56.9,,,,юго-западный,,,,,5.0,,,,,,,,,,,,,10.0,732.0,,,,4.6,,,,,,2.0,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,12.0,,,,,,,,,,,,,71.3,,,,западный,,,,,3.0,,,0,,,,,,,,,,10.0,731.0,,,,3.6,,,,,,9.0,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,14.0,True,,,,,,,,,,,,81.1,,,,юго-западный,,,,4.8,6.0,,,0.3,,,,,,,,,,10.0,732.0,,,,2.4,,,,,,10.0,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,12.0,,,,,,,,,,,,,89.8,,,,юго-западный,,,,,5.0,,True,,,,,,,,,,,10.0,731.0,,,,2.1,,,,,,10.0,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,12.0,,,,,,,,,,,,,86.0,,,,юго-западный,,,,,5.0,,,,,,,,,,,,,10.0,730.0,,,,2.5,,,,True,,10.0,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,True,,,,,,,,,,,,90.5,,,1.7,западный,,,,,4.0,,,0.9,,,,,0.9,,,,,10.0,730.0,,,,2.3,,,,,,10.0,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,11.0,,,,,,True,,,,,,,79.1,,,1.7,юго-западный,,,,,6.0,,,2,,,,,,,,,,10.0,729.0,,,,4.2,,,,,,9.0,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,14.0,,,,,,,,,,,,,62.0,,,,юго-западный,,,,,7.0,,,,,,,,,,,,,10.0,727.0,,,,5.6,,,,,,10.0,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,13.0,True,,,,,,,,,,,,85.6,,,,юго-западный,,,,,7.0,,,,,,,,,,,,,10.0,724.0,,,,4.7,,,,,,10.0,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,13.0,True,,,,,,,,,,,,91.3,,,,юго-западный,,,,,5.0,,,6,,,,,,,,,,10.0,723.0,,,,4.9,,,,,,10.0,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,12.0,,,,,,,,,,,,,89.9,,,,западный,,,,6.3,4.0,,,6,,,,,,True,,,,10.0,724.0,,,,3.2,,,,,,10.0,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,True,,,,,,,82.5,,,,западный,,,,,5.0,,,,,,,,,,,,,10.0,724.0,,,,4.0,,,,,,9.0,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,14.0,,,,,True,,,,,,,,84.7,,,,западный,,,,,3.0,,,,,,,,,,,,,10.0,727.0,,,,2.1,,,,,,9.0,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,10.0,,,,,,,,,,,,,83.9,,,0.7,западный,,,,,2.0,,,2,,,,,8,,,,,10.0,729.0,,,,0.7,,,,,,5.0,
