timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1599912000,"Суббота, 12 сентября
12:00 (UTC)",,,,,,,,,,,20,744,,,32.1,,22.3,,,северо-восточный,0,,,3
1599922800,"Суббота, 12 сентября
15:00 (UTC)",,,,0,,,,,,,20,744,,,28.9,,26.0,,,северный,0,,32.2,3
1599933600,"Суббота, 12 сентября
18:00 (UTC)",,,,,,,,,,,20,745,,,18.3,,57.2,,,восточный,0,,,1
1599944400,"Суббота, 12 сентября
21:00 (UTC)",,,,,,,,,,,20,745,,,17.8,,52.6,,,юго-восточный,0,,,1
1599955200,"Воскресенье, 13 сентября
00:00 (UTC)",,,,,,,,,,,20,744,,,16.4,,64.5,,,восточный,0,,,2
1599966000,"Воскресенье, 13 сентября
03:00 (UTC)",,,,0,,,0,,,,20,745,,,14.9,,76.5,14.3,,восточный,0,,,1
1599976800,"Воскресенье, 13 сентября
06:00 (UTC)",,,,,,,,,,,20,745,,,23.0,,59.9,,,восточный,0,,,3
1599987600,"Воскресенье, 13 сентября
09:00 (UTC)",,,,,,,,,,,20,745,,,30.0,,38.9,,,северо-восточный,0,,,4
1599998400,"Воскресенье, 13 сентября
12:00 (UTC)",,,,,,,,,,,20,744,,,31.5,,32.8,,,северо-восточный,0,,,4
1600009200,"Воскресенье, 13 сентября
15:00 (UTC)",,,,0,,,,,,,20,744,,,28.5,,37.0,,,северо-восточный,2,,31.7,3
1600020000,"Воскресенье, 13 сентября
18:00 (UTC)",,,,,,,,,,,20,744,,,22.3,,54.9,,,восточный,0,,,2
1600030800,"Воскресенье, 13 сентября
21:00 (UTC)",,,,,,,,,,,20,744,,,15.4,,84.5,,,северо-восточный,0,,,1
1600041600,"Понедельник, 14 сентября
00:00 (UTC)",,,,,,,,,,,20,744,,,13.5,,92.5,,,,0,,,0
1600052400,"Понедельник, 14 сентября
03:00 (UTC)",,,,0,,,0,,,,10,745,,,13.6,,98.1,13.0,,юго-западный,0,,,1
1600063200,"Понедельник, 14 сентября
06:00 (UTC)",,,,,,,,,,,20,745,,,20.8,,66.8,,,юго-западный,0,,,1
1600074000,"Понедельник, 14 сентября
09:00 (UTC)",,,,,,,,,,,20,746,,,25.4,,47.7,,,северо-западный,0,,,1
1600084800,"Понедельник, 14 сентября
12:00 (UTC)",,,,,,,,,,,20,745,,,28.5,,35.8,,,северо-западный,0,,,2
1600095600,"Понедельник, 14 сентября
15:00 (UTC)",,,,0,,,,,,,20,745,,,26.0,,42.3,,,юго-западный,1,,28.8,1
1600106400,"Понедельник, 14 сентября
18:00 (UTC)",,,,,,,,,,,20,746,,,20.5,,71.2,,,юго-восточный,0,,,2
1600117200,"Понедельник, 14 сентября
21:00 (UTC)",,,,,,,,,,,20,746,,,17.4,,84.2,,,южный,0,,,2
1600128000,"Вторник, 15 сентября
00:00 (UTC)",,,,,,,,,,,10,747,,,15.0,,91.3,,,юго-восточный,0,,,1
1600138800,"Вторник, 15 сентября
03:00 (UTC)",,,,0,,,0,,True,,4,747,,,12.8,,98.7,12.0,,южный,0,,,1
1600149600,"Вторник, 15 сентября
06:00 (UTC)",,,,,,,,,,,20,747,,,20.2,,57.7,,,,0,,,0
1600160400,"Вторник, 15 сентября
09:00 (UTC)",,,,,,,,,,,20,747,,,26.0,,35.8,,,северный,0,,,2
