timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C","Пыль, песок или брызги, поднятые ветром",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1596920400,"Суббота, 8 августа
21:00 (UTC)",,,,,,,,,,,10,703,,,11.1,,91.1,,,,северо-восточный,0,,,1.0
1596931200,"Воскресенье, 9 августа
00:00 (UTC)",,,,,0,,,,менее 0.1,,50,703,,,13.5,,80.4,11.0,,,северный,4,,,1.0
1596942000,"Воскресенье, 9 августа
03:00 (UTC)",,,,,,,,,,,50,703,,,19.1,,65.5,,,,северо-восточный,4,,,2.0
1596952800,"Воскресенье, 9 августа
06:00 (UTC)",,,,,,,,,,,50,701,,,22.1,,51.3,,,,северный,5,,,2.0
1596963600,"Воскресенье, 9 августа
09:00 (UTC)",,,,,,,,,,,50,700,,,25.1,,32.1,,,,северо-западный,4,,,1.0
1596974400,"Воскресенье, 9 августа
12:00 (UTC)",,,,,0,,,,,,50,699,,,26.2,,38.1,,,,юго-западный,5,,26.6,1.0
1596985200,"Воскресенье, 9 августа
15:00 (UTC)",,,,,,,,,,,10,699,,,18.2,,66.7,,,,северный,5,,,1.0
1596996000,"Воскресенье, 9 августа
18:00 (UTC)",,,,,,,,,,,10,700,,,14.0,,83.2,,,,,4,,,0.0
1597006800,"Воскресенье, 9 августа
21:00 (UTC)",,,,,,,,,,,10,700,,,13.2,,88.3,,,,,0,,,0.0
1597017600,"Понедельник, 10 августа
00:00 (UTC)",,,,,0,,,,0,,20,701,,,12.8,,85.9,11.9,,,северо-восточный,2,,,1.0
1597028400,"Понедельник, 10 августа
03:00 (UTC)",,,,,,,,,,,20,700,,,19.7,,55.3,,,,юго-восточный,5,,,1.0
1597039200,"Понедельник, 10 августа
06:00 (UTC)",,,,,,,,,,,20,699,,,24.8,,37.2,,,,восточный,2,,,1.0
1597050000,"Понедельник, 10 августа
09:00 (UTC)",,,,,,,,,,,50,698,,,27.0,,29.9,,,,северный,5,,,2.0
1597060800,"Понедельник, 10 августа
12:00 (UTC)",,,,,0,,,,,,50,697,,,25.0,,35.0,,,,северный,9,,27.2,1.0
1597071600,"Понедельник, 10 августа
15:00 (UTC)",,,,,,,,,,,10,698,,,20.2,,55.1,,,,,9,,,0.0
1597082400,"Понедельник, 10 августа
18:00 (UTC)",,,,,,,,,,,10,699,,,16.6,,69.5,,,,,5,,,0.0
1597093200,"Понедельник, 10 августа
21:00 (UTC)",,,,,,,,,,,10,699,,,13.9,,81.0,,,,восточный,5,,,1.0
1597104000,"Вторник, 11 августа
00:00 (UTC)",,,,,0,,,,0,,50,700,,,14.4,,75.9,13.0,,,,7,,,0.0
1597114800,"Вторник, 11 августа
03:00 (UTC)",,True,,,,,,,,,50,701,,,16.2,,71.3,,,,,7,,,0.0
1597125600,"Вторник, 11 августа
06:00 (UTC)",,,,,,,,,,,50,699,,,21.9,,55.5,,,True,северо-западный,7,,,1.0
1597136400,"Вторник, 11 августа
09:00 (UTC)",,,,,,,,,,,50,698,,,26.3,,37.1,,,,восточный,7,,,1.0
