timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Поземок (слабый или умеренный),Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Снег умеренный с перерывами,Ливневой снег слабый,Туман (с отложением изморози). Небо не видно
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,7.0,,,,,,,,54.3,,,юго-западный,,18.9,2.0,,2,,,,,,10,752,,,15.9,,,,,4.0,,,
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,3.0,,,,,,,,78.8,,,южный,,,3.0,,,,,,,,10,753,,,9.4,,,,,4.0,,,
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,3.0,,,,,,,,74.0,,,южный,,,2.0,,,,,,,,10,754,,,9.4,,,,,5.0,,,
1590451200,"Вторник, 26 мая
00:00 (UTC)",,3.0,,,,,,,,73.1,,,,,,0.0,,,,,,,,10,754,,,10.1,,,,,7.0,,,
1590462000,"Вторник, 26 мая
03:00 (UTC)",,3.0,,,,,,,,75.3,8.0,,северный,,,2.0,,0,,0,,,,10,754,,,11.0,,,,,10.0,,,
1590472800,"Вторник, 26 мая
06:00 (UTC)",,6.0,,,,,,,,63.6,,,восточный,,,4.0,,,,,,,,10,754,,,14.4,,,,,10.0,,,
1590483600,"Вторник, 26 мая
09:00 (UTC)",,8.0,,,,,,,,55.0,,,восточный,,,6.0,,,,,,,,10,752,,,16.9,,,,,10.0,,,
1590494400,"Вторник, 26 мая
12:00 (UTC)",,11.0,,,,,,,,47.1,,,восточный,,,6.0,,,,,,,,10,751,,,17.6,,,,,10.0,,,
1590505200,"Вторник, 26 мая
15:00 (UTC)",,14.0,,,,,,,,45.1,,,восточный,,18.8,8.0,,0,,,,,,10,749,,,17.3,,,,,10.0,,,
1590516000,"Вторник, 26 мая
18:00 (UTC)",,12.0,,,,,,,,58.4,,,северо-восточный,,,5.0,,,,,True,,,4,748,,,15.1,,,,,10.0,,,
1590526800,"Вторник, 26 мая
21:00 (UTC)",,11.0,,,,,,,True,89.3,,,северо-восточный,,,4.0,,,,,,,,4,747,,,11.4,,,,,10.0,,,
1590537600,"Среда, 27 мая
00:00 (UTC)",,8.0,,,,,,,,91.1,,,северный,,,5.0,,,,,,True,,4,746,,,10.8,,,,,10.0,,,
1590548400,"Среда, 27 мая
03:00 (UTC)",,9.0,,,,,,,,91.1,10.1,,северный,,,5.0,,3,,3,,True,,4,746,,,10.8,,,,,10.0,,,
1590559200,"Среда, 27 мая
06:00 (UTC)",,8.0,,,,,,,,81.4,,,северный,,,4.0,,,,,,,,10,747,,,12.9,,,,,10.0,,,
1590570000,"Среда, 27 мая
09:00 (UTC)",,7.0,,,,,,,,71.7,,,северо-западный,,,4.0,,,,,,,,10,748,,,15.8,,,,,10.0,,,
1590580800,"Среда, 27 мая
12:00 (UTC)",,8.0,,,,,,,,64.1,,,северо-западный,,,4.0,,,,,,,,20,749,,,16.6,,,,,10.0,,,
1590591600,"Среда, 27 мая
15:00 (UTC)",,7.0,,,,,,,,62.8,,,северный,,17.3,3.0,,0,,,,,,20,749,,,16.4,,,,,7.0,,,
1590602400,"Среда, 27 мая
18:00 (UTC)",,4.0,,,,,,,,78.1,,,западный,,,2.0,,,,,,,,10,750,,,11.9,,,,,2.0,,,
1590613200,"Среда, 27 мая
21:00 (UTC)",,4.0,,,,,,,,90.3,,,,,,0.0,,,,,,True,,4,750,,,8.9,,,,,2.0,,,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,2.0,,,,,,,,95.3,,,западный,,,1.0,,,,,,True,,4,751,,,7.4,,,,,5.0,,,
1590634800,"Четверг, 28 мая
03:00 (UTC)",,2.0,,,,,,,,96.0,6.4,,,,,0.0,,0,,0,,True,,4,751,,,8.8,,,,,7.0,,,
1590645600,"Четверг, 28 мая
06:00 (UTC)",,3.0,,,,,,,,60.1,,,северо-западный,,,2.0,,,,,,,,10,751,,,17.0,,,,,2.0,,,
1590656400,"Четверг, 28 мая
09:00 (UTC)",,5.0,,,,,,,,47.5,,,северо-западный,,,2.0,,,,,,,,10,751,,,18.8,,,,,7.0,,,
1590667200,"Четверг, 28 мая
12:00 (UTC)",,5.0,,,,,,,,44.9,,,северо-западный,,,1.0,,,,,,,,10,750,,,19.7,,,,,9.0,,,
1590678000,"Четверг, 28 мая
15:00 (UTC)",,4.0,,,,,,,,55.2,,,восточный,,21.1,2.0,,0,,,,,,10,750,,,19.4,,,,,5.0,,,
1590688800,"Четверг, 28 мая
18:00 (UTC)",,4.0,,,,,,,,66.0,,,,,,0.0,,,,,,,,10,750,,,14.9,,,,,2.0,,,
1590699600,"Четверг, 28 мая
21:00 (UTC)",,3.0,,,,,,,,84.0,,,юго-восточный,,,2.0,,,,,,,,10,750,,,11.1,,,,,2.0,,,
1590710400,"Пятница, 29 мая
00:00 (UTC)",,3.0,,,,,,,,84.5,,,восточный,,,1.0,,,,,,,,10,750,,,10.1,,,,,2.0,,,
1590721200,"Пятница, 29 мая
03:00 (UTC)",,4.0,,,,,,,,80.0,8.4,,юго-восточный,,,3.0,,0,,0,,,,10,750,,,13.9,,,,,2.0,,,
1590732000,"Пятница, 29 мая
06:00 (UTC)",,9.0,,,,,,,,55.6,,,юго-восточный,,,6.0,,,,,,,,10,749,,,19.3,,,,,0.0,,,
1590742800,"Пятница, 29 мая
09:00 (UTC)",,9.0,,,,,,,,51.8,,,юго-восточный,,,4.0,,,,,,,,20,748,,,22.6,,,,,2.0,,,
1590753600,"Пятница, 29 мая
12:00 (UTC)",,8.0,,,,,,,,50.7,,,южный,,,4.0,,,,,,,,20,747,,,24.7,,,,,0.0,,,
1590764400,"Пятница, 29 мая
15:00 (UTC)",,8.0,,,,,,,,47.1,,,юго-восточный,,25.2,4.0,,0,,,,,,20,745,,,24.3,,,,,0.0,,,
1590775200,"Пятница, 29 мая
18:00 (UTC)",,6.0,,,,,,,,65.3,,,южный,,,2.0,,,,,,,,10,745,,,18.0,,,,,2.0,,,
1590786000,"Пятница, 29 мая
21:00 (UTC)",,4.0,,,,,,,,72.5,,,юго-восточный,,,1.0,,,,,,,,10,745,,,15.2,,,,,2.0,,,
